s_sat,T_sat,p_sat,h_sat,d_sat
-329.16361460963077,370.71406286806445,989940.7094188377,-97561.73647066744,1054.9684968254394
-327.92318851028926,371.03669393465333,997055.3907815631,-97094.96354748738,1053.535108262048
-326.6889884873714,371.3575955338796,1004170.0721442886,-96630.09334647079,1052.1049109282642
-325.4609306345748,371.676789222383,1011284.753507014,-96167.10080854777,1050.677853716381
-324.2389326818802,371.99429613643804,1018399.4348697395,-95705.96134447826,1049.2538863994248
-323.02291395160677,372.3101370030485,1025514.1162324649,-95246.65082245368,1047.832959607679
-321.8127953159318,372.62433215067296,1032628.7975951903,-94789.14555610367,1046.4150248059416
-320.6084999027562,372.9369013257695,1039743.4789579158,-94333.42257567616,1045.0000351503363
-319.4099500310749,373.2478644878546,1046858.1603206412,-93879.45847185938,1043.5879419102807
-318.2170717671967,373.55724062670083,1053972.8416833666,-93427.23112363147,1042.1786998466428
-317.02979178524737,373.86504857699583,1061087.5230460921,-92976.71851402617,1040.772263548992
-315.84803811685583,374.1713068234824,1068202.2044088177,-92527.89901711534,1039.3685883380579
-314.671740116336,374.476033509762,1075316.885771543,-92080.75138814443,1037.967630246949
-313.5008284269758,374.7792464468194,1082431.5671342686,-91635.25475397549,1036.5693460029408
-312.3352349483856,375.08096312128066,1089546.248496994,-91191.38860382535,1035.1736930098084
-311.17489280488275,375.38120070341085,1096660.9298597195,-90749.13278029217,1033.7806293306974
-310.01973631485095,375.67997605486687,1103775.6112224448,-90308.46747065395,1032.390113671504
-308.8697009610544,375.9773057362087,1110890.2925851704,-89869.37319843263,1031.002105364738
-307.7247233618665,376.2732060141824,1118004.9739478957,-89431.83081521408,1029.6165643538775
-306.5847412433732,376.5676928687809,1125119.6553106213,-88995.82149271123,1028.233451178158
-305.4496934123285,376.86078200009155,1132234.3366733466,-88561.32671506594,1026.8527269578226
-304.3195197299215,377.1524888349379,1139349.0180360721,-88128.32827137658,1025.4743533797734
-303.1941610863365,377.44282853332294,1146463.6993987975,-87696.80824844845,1024.0982926836573
-302.0735593760626,377.7318159946821,1153578.380761523,-87266.7490237524,1022.7245076483232
-300.95765747394097,378.019465863951,1160693.0621242484,-86838.13325859098,1021.3529615786728
-299.84639921190984,378.3057925374561,1167807.743486974,-86410.94389145823,1019.9836182928649
-298.7397293564392,378.590810168633,1174922.4248496993,-85985.16413159494,1018.6164421098999
-297.6375935866073,378.8745326735808,1182037.1062124248,-85560.77745272049,1017.2513978375065
-296.53993847282305,379.1569737364541,1189151.7875751501,-85137.76758694889,1015.8884507603956
-295.44671145614626,379.4381468147041,1196266.4689378757,-84716.11851886984,1014.5275666288046
-294.357860828207,379.71806514416755,1203381.150300601,-84295.81447979908,1013.1687116473624
-293.27333571168964,379.99674174401423,1210495.8316633266,-83876.83994218691,1011.8118524642566
-292.19308604136353,380.2741894215541,1217610.5130260522,-83459.17961417981,1010.4569561606644
-291.11706254564706,380.55042077691127,1224725.1943887775,-83042.8184343318,1009.1039902404825
-290.04521672868526,380.82544820756704,1231839.875751503,-82627.74156646086,1007.7529226203189
-288.97750085292125,381.09928391277805,1238954.5571142284,-82213.93439464286,1006.4037216197348
-287.9138679221411,381.3719398978743,1246069.238476954,-81801.38251833894,1005.0563559517406
-286.8542716649924,381.64342797843756,1253183.9198396793,-81390.07174765698,1003.7107947135424
-285.79866651893826,381.9137597843685,1260298.6012024048,-80979.98809873415,1002.3670073775055
-284.74700761465033,382.1829467638434,1267413.2825651302,-80571.11778924371,1001.0249637823534
-283.6992507608217,382.451000187164,1274527.9639278557,-80163.44723402029,999.6846341245939
-282.6553524293749,382.71793115050616,1281642.645290581,-79756.96304079535,998.3459889501272
-281.6152697410728,382.98375057956736,1288757.3266533066,-79351.65200604755,997.0089991460936
-280.5789604514979,383.2484692331201,1295872.008016032,-78947.50111095521,995.6736359328905
-279.5463829374099,383.512097706469,1302986.6893787575,-78544.49751745726,994.339870856403
-278.5174961834423,383.7746464348213,1310101.3707414828,-78142.62856440803,993.0076757803939
-277.4922597691582,384.03612569656735,1317216.0521042084,-77741.88176383432,991.6770228790994
-276.47063385642923,384.29654561647703,1324330.7334669337,-77342.24479728394,990.3478846299838
-275.45257917713906,384.5559161688147,1331445.4148296593,-76943.70551226426,989.0202338066595
-274.43805702119937,384.81424718037414,1338560.0961923846,-76546.25191877104,987.6940434719769
-273.4270292248646,385.0715483334368,1345674.7775551102,-76149.87218589947,986.369286971263
-272.41945815934935,385.3278291686541,1352789.4589178355,-75754.55463854273,985.0459379257288
-271.4153067197155,385.5830990878593,1359904.140280561,-75360.2877541653,983.7239702260005
-270.41453831404675,385.8373673568076,1367018.8216432864,-74967.0601596578,982.4033580258155
-269.41711685288215,386.0906431078482,1374133.503006012,-74574.86062826557,981.0840757358399
-268.4230067389104,386.34293534253163,1381248.1843687375,-74183.67807658984,979.7660980176275
-267.43217285691924,386.59425293415035,1388362.8657314628,-73793.50156166265,978.4493997777179
-266.4445805639783,386.84460463022003,1395477.5470941884,-73404.32027808599,977.1339561618338
-265.46019567986644,387.0939990548985,1402592.2284569137,-73016.12355524114,975.819742549228
-264.47898447772485,387.3424447113466,1409706.9098196393,-72628.90085456225,974.506734547135
-263.5009136749312,387.5899499840321,1416821.5911823646,-72242.64176687111,973.1949079853363
-262.525950424189,387.8365231409788,1423936.2725450902,-71857.3360097737,971.8842389108365
-261.55406230482754,388.08217233596116,1431050.9539078155,-71472.97342511671,970.5747035826548
-260.5852173143048,388.32690561064715,1438165.635270541,-71089.54397650053,969.2662784667101
-259.6193838599043,388.5707308966909,1445280.3166332664,-70707.03774684765,967.9589402308102
-258.6565307506265,388.8136560177752,1452394.997995992,-70325.44493602606,966.652665739741
-257.696627189263,389.05568869160743,1459509.6793587173,-69944.75585852488,965.3474320504495
-256.73964276465273,389.29683653186765,1466624.3607214428,-69564.9609411803,964.0432164073109
-255.7855474441123,389.5371070501129,1473739.0420841682,-69186.0507209521,962.7399962374983
-254.83431156603854,389.7765076576361,1480853.7234468937,-68808.01584274831,961.4377491464263
-253.88590583266915,390.01504566728437,1487968.404809619,-68430.84705729442,960.1364529132803
-252.94030130301462,390.25272829523306,1495083.0861723446,-68054.53521905186,958.8360854866313
-251.9974693859358,390.4895626627223,1502197.76753507,-67679.0712841769,957.5366249801237
-251.057381833378,390.7255557977523,1509312.4488977955,-67304.44630852403,956.2380496682396
-250.12001073375296,390.9607146367411,1516427.1302605208,-66930.65144569187,954.9403379821377
-249.18532850545932,391.1950460261456,1523541.8116232464,-66557.67794510715,953.6434685055619
-248.25330789054607,391.42855672404585,1530656.492985972,-66185.5171501502,952.3474199708178
-247.3239219485108,391.6612534016941,1537771.1743486973,-65814.16049631791,951.0521712548175
-246.39714405022562,391.89314264503054,1544885.8557114229,-65443.59950942312,949.7577013751863
-245.4729478719957,392.1242309561646,1552000.5370741482,-65073.82580383125,948.4639894864346
-244.5513073897391,392.354524754824,1559115.2184368738,-64704.83108073159,947.1710148761858
-243.63219687328487,392.5840303797738,1566229.899799599,-64336.60712644159,945.878756961463
-242.71559088079402,392.812754090202,1573344.5811623246,-63969.145810746144,944.5871952850356
-241.8014642532917,393.04070206707746,1580459.26252505,-63602.43908526851,943.2963095118198
-240.88979210930827,393.2678804144774,1587573.9438877755,-63236.478981871296,942.0060794253222
-239.98054983963183,393.4942951608875,1594688.6252505009,-62871.2576110893,940.7164849241474
-239.0737131021646,393.71995226047267,1601803.3066132264,-62506.76716059197,939.4275060185465
-238.16925781687874,393.9448575943234,1608917.9879759517,-62142.99989367331,938.1391228270136
-237.2671599850121,394.1690170128901,1616032.6693386773,-61779.94807845438,936.8513152986895
-236.36739637831835,394.3924361744481,1623147.3507014026,-61417.60425996669,935.5640642916526
-235.46994350707075,394.61512078717516,1630262.0320641282,-61055.96085395544,934.2773499699817
-234.57477829110445,394.8370764517817,1637376.7134268535,-60695.010411690695,932.991152852084
-233.6818778885615,395.0583087017443,1644491.394789579,-60334.74555292928,931.7054535482619
-232.79121969140323,395.2788230044026,1651606.0761523044,-59975.15896456159,930.420232757555
-231.90278132101494,395.4986247620332,1658720.75751503,-59616.24339928455,929.135471264637
-231.01654062388454,395.7177193129016,1665835.4388777553,-59257.99167429509,927.8511499367268
-230.1324756673651,395.9361119322933,1672950.1202404809,-58900.396670006914,926.5672497205468
-229.25056473551393,396.15380783352276,1680064.8016032064,-58543.45132878899,925.2837516393016
-228.3707863250054,396.370812168924,1687179.4829659318,-58187.14865372468,924.0006367896997
-227.4931191411209,396.5871300308187,1694294.1643286573,-57831.481707392064,922.7178863389978
-226.61754209380615,396.80276645246704,1701408.8456913827,-57476.443610663475,921.4354815220706
-225.74403429380342,397.017726408998,1708523.5270541082,-57122.027541525415,920.1534036385207
-224.87257504884218,397.2320148183226,1715638.2084168335,-56768.22673391511,918.8716340497919
-224.00314385990526,397.4456365420281,1722752.889779559,-56415.0344765778,917.5901541763285
-223.13572041755765,397.65859638625386,1729867.5711422844,-56062.4441119419,916.3089454947553
-222.2702845983253,397.87089910255264,1736982.25250501,-55710.4490350064,915.0279895350512
