s_sat,T_sat,p_sat,h_sat,d_sat
-219.4506308317771,414.2093373559831,1362973.74749499,-51143.43056152473,462.94742642850713
-217.40360490594168,414.47369772050627,1369585.2705410824,-50281.00187462179,462.32130252136034
-215.36279926886715,414.73710765272153,1376196.7935871745,-49420.59254960377,461.69565328045576
-213.3281530125225,414.9995751236941,1382808.3166332666,-48562.18248893295,461.07046799936984
-211.29960597669734,415.26110799926147,1389419.8396793588,-47705.75182348237,460.4457360535743
-209.27709873473412,415.5217140419206,1396031.362725451,-46851.28090813819,459.82144689835945
-207.2605725795741,415.7814009126726,1402642.8857715433,-45998.75031749272,459.1975900667894
-205.24996951010968,416.04017617282557,1409254.4088176354,-45148.140841630004,458.57415516769595
-203.245232217833,416.2980472857565,1415865.9318637275,-44299.43348199959,457.9511318837062
-201.2463040737709,416.55502161863535,1422477.4549098196,-43452.60944737422,457.3285099693053
-199.25312911569785,416.81110644410893,1429088.977955912,-42607.65014989091,456.7062792489249
-197.26565203562382,417.06630894194967,1435700.5010020041,-41764.537201172134,456.08442961507126
-195.28381816754415,417.3206362006665,1442312.0240480963,-40923.25240852702,455.46295102647804
-193.30757347544457,417.5740952190815,1448923.5470941884,-40083.777771225614,454.841833506286
-191.33686454156177,417.82669290787135,1455535.0701402808,-39246.09547685028,454.2210671402566
-189.37163855487833,418.0784360910769,1462146.593186373,-38410.1878977171,453.60064207501
-187.41184329986746,418.3293315075776,1468758.116232465,-37576.037587370345,452.98054851628905
-185.45742714544934,418.57938581253734,1475369.6392785572,-36743.627277138425,452.36077672724724
-183.50833903419232,418.8286055788166,1481981.1623246493,-35912.93987276643,451.7413170267665
-181.56452847171266,419.07699729835633,1488592.6853707416,-35083.95845110207,451.12215978779045
-179.62594551629275,419.3245673835327,1495204.2084168338,-34256.666256850025,450.50329543568733
-177.6925407687178,419.5713221684805,1501815.731462926,-33431.046699390216,449.8847144466315
-175.7642653622936,419.8172679103926,1508427.254509018,-32607.08334964881,449.2664073460111
-173.84107095306513,420.06241079078995,1515038.7775551104,-31784.75993702785,448.6483647068433
-171.9229097102432,420.3067569167646,1521650.3006012025,-30964.06034639941,448.030577148231
-170.00973430678465,420.55031232219915,1528261.8236472947,-30144.968615141806,447.4130353338148
-168.1014979101728,420.79308296895954,1534873.3466933868,-29327.468930235045,446.7957299702571
-166.198154173377,421.03507474806304,1541484.8697394792,-28511.54562541274,446.1786518057453
-164.29965722596927,421.276293480823,1548096.3927855713,-27697.183178355455,445.5617916285033
-162.40596166540428,421.5167449199715,1554707.9158316634,-26884.36620793418,444.9451402653215
-160.51702254848257,421.7564347507559,1561319.4388777555,-26073.079471509434,444.3286885801092
-158.63279538294853,421.99536859201675,1567930.961923848,-25263.307862266272,443.7124274724534
